seed,coef_seed,train_seed,direction,frame_idx,true_x,true_y,pred_x,pred_y
0_0,0,0,0_right,67,6.1692657,0.0,3.909134,0.36509323
0_0,0,0,0_right,68,6.3211784,-4.7683716e-07,4.0310173,0.37141514
0_0,0,0,0_right,69,6.471607,9.536743e-07,4.155426,0.38953114
0_0,0,0,0_right,70,6.620388,-4.7683716e-07,4.2768173,0.4063282
0_0,0,0,0_right,71,6.767357,4.7683716e-07,4.3932953,0.39756966
0_0,0,0,0_right,72,6.9123573,0.0,4.507366,0.3824091
0_0,0,0,0_right,73,7.055229,-9.536743e-07,4.6312637,0.32191753
0_0,0,0,0_right,74,7.19582,0.0,4.75148,0.22751522
0_0,0,0,0_right,75,7.333988,-4.7683716e-07,4.8790436,0.09975052
0_0,0,0,0_right,76,7.4695816,2.861023e-06,5.017235,-0.01665783
0_0,0,0,0_right,77,7.602463,4.7683716e-07,5.2118797,-0.11875248
0_0,0,0,0_right,78,7.732502,-2.3841858e-06,5.4001846,-0.19750309
0_0,0,0,0_right,79,7.8595657,3.33786e-06,5.578499,-0.24491501
0_0,0,0,0_right,80,7.983528,-2.3841858e-06,5.7272377,-0.30781078
0_0,0,0,0_right,81,8.104279,-1.9073486e-06,5.8923874,-0.3936453
0_0,0,0,0_right,82,8.221699,-3.33786e-06,6.0641937,-0.44735622
0_0,0,0,0_right,83,8.33569,-2.861023e-06,6.2299614,-0.43299007
0_0,0,0,0_right,84,8.446148,-3.33786e-06,6.4716263,-0.39825916
0_0,0,0,0_right,85,8.552986,2.3841858e-06,6.7203674,-0.3286991
0_0,0,0,0_right,86,8.6561165,4.7683716e-07,6.947098,-0.29193115
0_0,0,0,0_right,87,8.75547,0.0,7.158436,-0.22594166
0_0,0,0,0_right,88,8.850971,-3.33786e-06,7.3933334,-0.16020298
0_0,0,0,0_right,89,8.942562,-9.536743e-07,7.615677,-0.10736656
0_0,0,0,0_right,90,9.030197,-1.4305115e-06,7.8956985,-0.080192566
0_0,0,0,0_right,91,9.113827,9.536743e-07,8.099617,-0.029889107
